Point,Time (s),Temperature (K)
0,1.800000e-02,7.996774
1,2.700000e-01,7.994483
2,5.150000e-01,7.989460
3,7.590000e-01,7.976475
4,1.011000e+00,7.960508
5,1.261000e+00,7.948998
6,1.514000e+00,7.941927
7,1.759000e+00,7.944416
8,2.012000e+00,7.946553
9,2.260000e+00,7.948805
10,2.506000e+00,7.950333
11,2.761000e+00,7.957568
12,3.011000e+00,7.971364
13,3.259000e+00,7.985765
14,3.511000e+00,8.007586
15,3.757000e+00,8.025792
16,4.011000e+00,8.048932
17,4.260000e+00,8.074180
18,4.510000e+00,8.112523
19,4.757000e+00,8.140084
20,5.010000e+00,8.169436
21,5.262000e+00,8.203544
22,5.511000e+00,8.248565
23,5.761000e+00,8.283682
24,6.010000e+00,8.323200
25,6.263000e+00,8.362473
26,6.510000e+00,8.416229
27,6.761000e+00,8.451276
28,7.007000e+00,8.490778
29,7.263000e+00,8.531201
30,7.510000e+00,8.587136
31,7.760000e+00,8.622332
32,8.008000e+00,8.657983
33,8.264000e+00,8.706838
34,8.507000e+00,8.744116
35,8.760000e+00,8.776011
36,9.007000e+00,8.805704
37,9.256000e+00,8.852332
38,9.521000e+00,8.886286
39,9.757000e+00,8.919883
40,1.001000e+01,8.952124
41,1.026100e+01,8.994379
42,1.050600e+01,9.016498
43,1.076100e+01,9.037637
44,1.101000e+01,9.058431
45,1.126100e+01,9.085885
46,1.151100e+01,9.110515
47,1.176100e+01,9.136877
48,1.201000e+01,9.159431
49,1.226000e+01,9.188406
50,1.251700e+01,9.207745
51,1.275900e+01,9.224873
52,1.301400e+01,9.236282
53,1.325700e+01,9.259335
54,1.351100e+01,9.276054
55,1.376100e+01,9.292058
56,1.401200e+01,9.305831
57,1.425800e+01,9.325194
58,1.451000e+01,9.340576
59,1.475700e+01,9.355703
60,1.501700e+01,9.375261
61,1.526100e+01,9.389118
62,1.551100e+01,9.400832
63,1.576100e+01,9.410664
64,1.601100e+01,9.431853
65,1.625900e+01,9.442164
66,1.650600e+01,9.450680
67,1.676100e+01,9.459766
68,1.700600e+01,9.469862
69,1.726100e+01,9.480320
70,1.750500e+01,9.490911
71,1.775600e+01,9.500479
72,1.800600e+01,9.517479
73,1.826100e+01,9.530962
74,1.851200e+01,9.542875
75,1.876000e+01,9.548159
76,1.901100e+01,9.562122
77,1.925900e+01,9.576595
78,1.951100e+01,9.586348
79,1.975600e+01,9.593359
80,2.001000e+01,9.601022
81,2.026000e+01,9.608529
82,2.051100e+01,9.617681
83,2.076300e+01,9.628529
84,2.100500e+01,9.641455
85,2.125500e+01,9.651084
86,2.151000e+01,9.659101
87,2.176000e+01,9.661122
88,2.201000e+01,9.664029
89,2.225600e+01,9.668718
90,2.250700e+01,9.679319
91,2.277100e+01,9.699054
92,2.301100e+01,9.706288
93,2.326000e+01,9.712216
94,2.351100e+01,9.722161
95,2.375500e+01,9.744276
96,2.401100e+01,9.757745
97,2.426100e+01,9.766596
98,2.451100e+01,9.776253
99,2.475800e+01,9.785948
100,2.500900e+01,9.792787
101,2.526000e+01,9.805029
102,2.550900e+01,9.812884
103,2.575700e+01,9.823373
104,2.600700e+01,9.827718
105,2.626000e+01,9.827858
106,2.650500e+01,9.828808
107,2.676100e+01,9.836982
108,2.701000e+01,9.841232
109,2.726100e+01,9.847599
110,2.751300e+01,9.854840
111,2.775600e+01,9.865741
112,2.801100e+01,9.871116
113,2.826000e+01,9.878585
114,2.851300e+01,9.887234
115,2.876000e+01,9.897872
116,2.900600e+01,9.901431
117,2.926000e+01,9.903248
118,2.951500e+01,9.908174
119,2.975500e+01,9.912079
120,3.001100e+01,9.912605
121,3.025600e+01,9.915038
122,3.051100e+01,9.919424
123,3.075600e+01,9.920449
124,3.100600e+01,9.922038
125,3.125600e+01,9.924753
126,3.150700e+01,9.934043
127,3.176100e+01,9.946674
128,3.201000e+01,9.956034
129,3.226000e+01,9.961956
130,3.250800e+01,9.973207
131,3.275600e+01,9.978624
132,3.301000e+01,9.981471
133,3.326100e+01,9.981418
134,3.350900e+01,9.982606
135,3.376000e+01,9.984504
136,3.400700e+01,9.985706
137,3.426600e+01,9.989634
138,3.450700e+01,9.998614
139,3.476100e+01,10.003272
140,3.500900e+01,10.005587
141,3.526200e+01,10.005760
142,3.550700e+01,10.009533
143,3.575900e+01,10.016183
144,3.602200e+01,10.019439
145,3.626900e+01,10.024220
146,3.651200e+01,10.026394
147,3.676200e+01,10.026453
148,3.701100e+01,10.024831
149,3.726300e+01,10.026448
150,3.751700e+01,10.029948
151,3.776100e+01,10.036340
152,3.801300e+01,10.046631
153,3.826200e+01,10.056075
154,3.851300e+01,10.057226
155,3.876200e+01,10.058690
156,3.900600e+01,10.058070
157,3.925700e+01,10.055072
158,3.951000e+01,10.057307
159,3.975700e+01,10.058582
160,4.001100e+01,10.055946
161,4.025800e+01,10.046321
162,4.051100e+01,10.041708
163,4.076000e+01,10.043803
164,4.101200e+01,10.046549
165,4.126000e+01,10.043246
166,4.151000e+01,10.042173
167,4.175600e+01,10.042660
168,4.201400e+01,10.045139
169,4.226000e+01,10.050265
170,4.251100e+01,10.054893
171,4.276100e+01,10.063197
172,4.301200e+01,10.068695
173,4.326200e+01,10.070539
174,4.351000e+01,10.071524
175,4.376200e+01,10.072576
176,4.401300e+01,10.082338
177,4.426200e+01,10.090241
178,4.450800e+01,10.094178
179,4.475900e+01,10.095149
180,4.501400e+01,10.095432
181,4.526200e+01,10.096735
182,4.551200e+01,10.098249
183,4.575700e+01,10.101252
184,4.601100e+01,10.101338
185,4.626100e+01,10.098919
186,4.650700e+01,10.096187
187,4.676100e+01,10.092866
188,4.701000e+01,10.087284
189,4.726000e+01,10.086090
190,4.751100e+01,10.082129
191,4.775800e+01,10.079859
192,4.801000e+01,10.077480
193,4.825700e+01,10.078494
194,4.851100e+01,10.080029
195,4.875700e+01,10.081232
196,4.900800e+01,10.083608
197,4.926600e+01,10.082785
198,4.951100e+01,10.084201
199,4.976200e+01,10.079931
200,5.001100e+01,10.072112
201,5.026000e+01,10.067011
202,5.051100e+01,10.064573
203,5.076000e+01,10.062602
204,5.101000e+01,10.058944
205,5.126000e+01,10.055512
206,5.151100e+01,10.055262
207,5.176300e+01,10.057456
208,5.201100e+01,10.055108
209,5.226300e+01,10.051081
210,5.251000e+01,10.047423
211,5.276300e+01,10.051118
212,5.300900e+01,10.052769
213,5.326200e+01,10.051315
214,5.351200e+01,10.050309
215,5.376200e+01,10.052732
216,5.401200e+01,10.058502
217,5.426300e+01,10.060414
218,5.452000e+01,10.061172
219,5.476200e+01,10.066704
220,5.501300e+01,10.071526
221,5.526300e+01,10.074936
222,5.551600e+01,10.075294
223,5.576300e+01,10.073734
224,5.602000e+01,10.072584
225,5.626100e+01,10.072377
226,5.651300e+01,10.071469
227,5.676000e+01,10.070336
228,5.701200e+01,10.068753
229,5.725800e+01,10.065839
230,5.751300e+01,10.062607
231,5.775800e+01,10.057493
232,5.801200e+01,10.056578
233,5.826600e+01,10.060139
234,5.851600e+01,10.066241
235,5.876200e+01,10.066523
236,5.901300e+01,10.068810
237,5.926300e+01,10.071184
238,5.951300e+01,10.069860
239,5.976300e+01,10.068945
240,6.001300e+01,10.068518
241,6.026200e+01,10.069001
242,6.051200e+01,10.065791
243,6.076300e+01,10.061755
244,6.101200e+01,10.059730
245,6.126300e+01,10.059234
246,6.150900e+01,10.054159
247,6.176200e+01,10.054162
248,6.201200e+01,10.054399
249,6.226800e+01,10.055725
250,6.252200e+01,10.054888
251,6.276300e+01,10.051908
252,6.301300e+01,10.048050
253,6.326400e+01,10.047250
254,6.351300e+01,10.054505
255,6.376300e+01,10.057563
256,6.401300e+01,10.055575
257,6.426200e+01,10.054173
258,6.451200e+01,10.053300
259,6.476200e+01,10.052021
260,6.501200e+01,10.051438
261,6.526900e+01,10.043691
262,6.551200e+01,10.041811
263,6.575800e+01,10.045976
264,6.601200e+01,10.047818
265,6.626000e+01,10.048306
266,6.651200e+01,10.046800
267,6.676200e+01,10.041683
268,6.700700e+01,10.036783
269,6.726000e+01,10.036168
270,6.751300e+01,10.034013
271,6.776300e+01,10.025044
272,6.801100e+01,10.018483
273,6.826200e+01,10.020283
274,6.851300e+01,10.023463
275,6.876200e+01,10.026782
276,6.901200e+01,10.028341
277,6.926300e+01,10.033891
278,6.951300e+01,10.040338
279,6.976200e+01,10.043871
280,7.000800e+01,10.043684
281,7.026100e+01,10.042318
282,7.050800e+01,10.044813
283,7.076000e+01,10.046093
284,7.101200e+01,10.047250
285,7.126200e+01,10.047299
286,7.152600e+01,10.047944
287,7.176200e+01,10.048671
288,7.201000e+01,10.047695
289,7.226200e+01,10.044816
290,7.251300e+01,10.043180
291,7.276200e+01,10.046345
292,7.301500e+01,10.045567
293,7.326200e+01,10.042896
